symbol,n_days,first,last,qv_median_musd,qv_p25_musd,px_last,range_median_pct,weekend_ratio
ACTUSDT,365,2025-09-01,2026-08-31,4.1457335,2.041643875,0.0105219995602965,7.8405609130859375,0.9934326410293579
BTCDOMUSDT,365,2025-09-01,2026-08-31,4.141444,2.59093675,5380.2998046875,1.679431438446045,0.690014123916626
DUSKUSDT,365,2025-09-01,2026-08-31,4.1336705,1.887727375,0.067560002207756,8.501121520996094,1.1558732986450195
FHEUSDT,365,2025-09-01,2026-08-31,4.12505875,2.170123,0.0212099999189376,12.692543983459473,0.9054099917411804
USUSDT,263,2025-12-12,2026-08-31,4.10866975,1.580329375,0.0166829992085695,13.430631637573242,0.8341361880302429
ZEREBROUSDT,365,2025-09-01,2026-08-31,4.08594525,1.9011805,0.0384219996631145,10.453482627868652,0.9518681168556213
MEUSDT,365,2025-09-01,2026-08-31,4.0779695,2.488368,0.0610800012946128,5.981103897094727,0.7099809050559998
QUSDT,364,2025-09-02,2026-08-31,4.011439,2.0126841875,0.0240330006927251,11.637937545776367,1.002206563949585
STGUSDT,365,2025-09-01,2026-08-31,3.99456825,2.22084975,0.1674000024795532,7.148353576660156,0.7996108531951904
ATUSDT,307,2025-10-29,2026-08-31,3.9523965,1.867832,0.135900005698204,6.532486438751221,0.8733804821968079
BUSDT,365,2025-09-01,2026-08-31,3.93401825,2.034433125,0.1374000012874603,10.307300567626951,0.9817096590995789
SPKUSDT,365,2025-09-01,2026-08-31,3.92903325,1.911974125,0.019370000809431,6.720006465911865,0.8136184215545654
API3USDT,365,2025-09-01,2026-08-31,3.92577925,1.999688875,0.2224999964237213,6.008874893188477,1.0174903869628906
TAKEUSDT,363,2025-09-03,2026-08-31,3.91176525,1.7529685625,0.0575300008058548,11.22135066986084,0.9327461123466492
ATHUSDT,365,2025-09-01,2026-08-31,3.9046995,2.076207375,0.0048310002312064,7.94148588180542,0.8111560344696045
GUNUSDT,365,2025-09-01,2026-08-31,3.90230825,2.2799915,0.0029929999727755,8.301654815673828,0.7282061576843262
HYPERUSDT,365,2025-09-01,2026-08-31,3.899914,2.30088625,0.065320000052452,7.034888744354248,0.8435371518135071
ORCAUSDT,365,2025-09-01,2026-08-31,3.87542675,2.031928625,1.258999943733215,5.927554130554199,0.6417095065116882
SAPIENUSDT,365,2025-09-01,2026-08-31,3.84542425,1.91457475,0.0823400020599365,9.156031608581545,0.7373073101043701
ZILUSDT,365,2025-09-01,2026-08-31,3.84493375,2.36460075,0.0025869999080896,5.210911273956299,0.7466846704483032
AXLUSDT,365,2025-09-01,2026-08-31,3.76912875,1.900618875,0.0435199998319149,6.726706027984619,0.8002445101737976
MINAUSDT,365,2025-09-01,2026-08-31,3.747141,2.02549075,0.06683000177145,5.666358947753906,0.7811563611030579
STOUSDT,365,2025-09-01,2026-08-31,3.7358985,1.883375375,0.0408999994397163,6.9575042724609375,0.8482033014297485
MAGICUSDT,365,2025-09-01,2026-08-31,3.73067375,1.575536875,0.0455899983644485,5.816862106323242,0.8841503858566284
NMRUSDT,365,2025-09-01,2026-08-31,3.72630825,1.67465025,9.017999649047852,5.646129608154297,0.9916333556175232
SUPERUSDT,365,2025-09-01,2026-08-31,3.7243865,2.003307875,0.1070299968123436,5.925923824310303,0.7757777571678162
LUNA2USDT,365,2025-09-01,2026-08-31,3.7179385,2.10296225,0.0443800017237663,5.314210891723633,0.7767593860626221
CELOUSDT,365,2025-09-01,2026-08-31,3.71472225,1.68264025,0.0736699998378753,6.586822032928467,0.8901189565658569
WCTUSDT,365,2025-09-01,2026-08-31,3.69693875,1.848118375,0.0374899990856647,6.57708740234375,0.8196090459823608
MEGAUSDT,214,2026-01-30,2026-08-31,3.696148,1.1791054375,0.0379699990153312,7.678471565246582,0.7716425061225891
YGGUSDT,365,2025-09-01,2026-08-31,3.6708505,2.15812175,0.0218599997460842,6.653136730194092,0.8357671499252319
ACHUSDT,365,2025-09-01,2026-08-31,3.66630975,1.980148,0.0048110000789165,5.868382930755615,0.748599648475647
ALTUSDT,365,2025-09-01,2026-08-31,3.66040025,2.1384085,0.0061209998093545,6.584873199462891,0.9705675840377808
EDUUSDT,365,2025-09-01,2026-08-31,3.62806525,1.90802675,0.0480800010263919,7.482626914978027,0.7918122410774231
MANTRAUSDT,181,2026-03-04,2026-08-31,3.6248335,2.20474225,0.0043950001709163,5.923961162567139,1.020635962486267
BLURUSDT,365,2025-09-01,2026-08-31,3.60495525,2.090649125,0.0155800003558397,6.096307754516602,0.8055554032325745
ENJUSDT,365,2025-09-01,2026-08-31,3.600852,2.094005625,0.0244800001382827,6.022335529327393,0.6823505163192749
NAORISUSDT,365,2025-09-01,2026-08-31,3.577788,1.542949125,0.0256399996578693,12.961061477661133,0.774210512638092
WALUSDT,365,2025-09-01,2026-08-31,3.565719,1.905211625,0.0241299998015165,6.62535572052002,0.7974086999893188
BABYUSDT,365,2025-09-01,2026-08-31,3.54687975,1.921438625,0.0123699996620416,6.722684860229492,0.9413985013961792
RAYSOLUSDT,365,2025-09-01,2026-08-31,3.524589,1.7967275,0.7972999811172485,6.425121307373047,0.6679542064666748
MASKUSDT,365,2025-09-01,2026-08-31,3.5093655,2.022247625,0.4190999865531921,5.481578350067139,0.8354603052139282
EULUSDT,323,2025-10-13,2026-08-31,3.4991125,1.6548365,1.315500020980835,8.661710739135742,0.8136271238327026
IDUSDT,365,2025-09-01,2026-08-31,3.46092125,2.1009355,0.0323400013148784,6.2152099609375,0.8749980926513672
VELVETUSDT,365,2025-09-01,2026-08-31,3.4192055,1.301293125,0.0949999988079071,10.975988388061523,0.8801448345184326
ZKPUSDT,254,2025-12-21,2026-08-31,3.417909,1.929146,0.0454699993133544,6.981208801269531,0.9877792596817017
1000RATSUSDT,365,2025-09-01,2026-08-31,3.3886565,1.6247885,0.0401399992406368,9.347434043884276,0.7904544472694397
IRYSUSDT,279,2025-11-26,2026-08-31,3.3818525,1.5744048125,0.014109999872744,10.349651336669922,0.7063779830932617
INUSDT,365,2025-09-01,2026-08-31,3.381745,1.635812375,0.0333699993789196,8.032709121704102,1.02590811252594
AIOTUSDT,365,2025-09-01,2026-08-31,3.346748,1.674886375,0.0385299995541572,11.811593055725098,0.9281026721000671
KERNELUSDT,365,2025-09-01,2026-08-31,3.33364725,1.79435575,0.0382100008428096,7.467694759368896,0.8361341953277588
RSRUSDT,365,2025-09-01,2026-08-31,3.303943,1.9908665,0.0013379999436438,6.758151054382324,0.8926520347595215
SWARMSUSDT,365,2025-09-01,2026-08-31,3.290715,1.88878575,0.007846999913454,10.081302642822266,0.904508650302887
BATUSDT,365,2025-09-01,2026-08-31,3.26942625,1.86892675,0.0680899992585182,6.065088272094727,0.7788031101226807
MIRAUSDT,340,2025-09-26,2026-08-31,3.267834,2.0624244375,0.0453700013458728,7.291921138763428,0.9914382696151733
