symbol,n_days,first,last,qv_median_musd,qv_p25_musd,px_last,range_median_pct
PARTIUSDT,365,2025-09-01,2026-08-31,5.2527935,3.17034125,0.0239499993622303,8.589885711669922
ROSEUSDT,365,2025-09-01,2026-08-31,5.243522,3.07318175,0.00608500000089407,6.670331001281738
BABAUSDT,134,2026-04-20,2026-08-31,5.1994675,1.2026739375,114.43000030517578,3.6217868328094482
FOLKSUSDT,299,2025-11-06,2026-08-31,5.078837,2.624141875,2.0799999237060547,9.826478958129883
LPTUSDT,365,2025-09-01,2026-08-31,5.0717015,2.914736,1.343000054359436,5.369531154632568
KATUSDT,183,2026-03-02,2026-08-31,5.070193,2.294598125,0.00469799991697073,7.537177085876465
QNTUSDT,365,2025-09-01,2026-08-31,5.0593155,3.18143075,61.029998779296875,5.009427547454834
GUAUSDT,254,2025-12-21,2026-08-31,5.004455,2.7692366875,0.03968000039458275,11.440183639526367
APRUSDT,313,2025-10-23,2026-08-31,5.0031895,2.4575205,0.19200000166893005,11.708258628845215
SOMIUSDT,365,2025-09-01,2026-08-31,4.9224905,1.951190625,0.12080000340938568,7.615478992462158
AVGOUSDT,134,2026-04-20,2026-08-31,4.8346985,1.5260723125,371.69000244140625,3.5492987632751465
ESPORTSUSDT,365,2025-09-01,2026-08-31,4.831262,2.420342,0.01803000085055828,10.759918212890625
FORMUSDT,365,2025-09-01,2026-08-31,4.8043025,2.550087,0.2554999887943268,8.161730766296387
SQQQUSDT,64,2026-06-29,2026-08-31,4.792416,2.13343609375,38.54999923706055,4.408402919769287
ESPUSDT,203,2026-02-10,2026-08-31,4.7851195,2.624199625,0.07812999933958054,7.447284698486328
EGLDUSDT,365,2025-09-01,2026-08-31,4.7660055,3.055714,3.880000114440918,5.762916564941406
EVAAUSDT,333,2025-10-03,2026-08-31,4.75657,1.895935875,0.7325000166893005,12.322397232055664
SPACEUSDT,221,2026-01-23,2026-08-31,4.731168,2.717398,0.00482900021597743,9.688482284545898
BANKUSDT,365,2025-09-01,2026-08-31,4.714857,2.3781215,0.035659998655319214,10.056416511535645
PLAYUSDT,365,2025-09-01,2026-08-31,4.6982555,1.87031175,0.04021000117063522,11.262714385986328
SENTUSDT,291,2025-11-14,2026-08-31,4.669055,2.673085125,0.012760000303387642,7.480072975158691
LAYERUSDT,365,2025-09-01,2026-08-31,4.6269385,2.45310625,0.06757000088691711,5.791111946105957
HOLOUSDT,355,2025-09-11,2026-08-31,4.6248355,2.557366875,0.06415999680757523,7.505220413208008
HOMEUSDT,365,2025-09-01,2026-08-31,4.5976585,2.56767125,0.006111999973654747,7.555972099304199
SUSHIUSDT,365,2025-09-01,2026-08-31,4.5964485,2.57811975,0.19519999623298645,5.978903293609619
NEOUSDT,365,2025-09-01,2026-08-31,4.5885415,2.691934,2.0369999408721924,4.895102024078369
IOTAUSDT,365,2025-09-01,2026-08-31,4.564707,3.01683025,0.039889998733997345,5.604448318481445
BLUAIUSDT,315,2025-10-21,2026-08-31,4.5629715,2.14590775,0.01232799980789423,12.542165756225586
1000SATSUSDT,365,2025-09-01,2026-08-31,4.534793,2.36812425,1.0759999895526562e-05,7.264958381652832
EDENUSDT,336,2025-09-30,2026-08-31,4.518585,2.34769025,0.058880001306533813,9.957171440124512
ZORAUSDT,365,2025-09-01,2026-08-31,4.501728,2.31720375,0.008825000375509262,7.620384693145752
GMTUSDT,365,2025-09-01,2026-08-31,4.468625,2.85749525,0.00723899994045496,5.897225856781006
POPCATUSDT,365,2025-09-01,2026-08-31,4.4206915,2.356815,0.052629999816417694,7.191097736358643
MUBARAKUSDT,365,2025-09-01,2026-08-31,4.3862685,2.291045,0.020989999175071716,8.685442924499512
COAIUSDT,341,2025-09-25,2026-08-31,4.3719055,2.29561475,0.2903999984264374,9.167548179626465
NOTUSDT,365,2025-09-01,2026-08-31,4.344203,2.60575375,0.0004760999872814864,6.759903430938721
NOMUSDT,335,2025-10-01,2026-08-31,4.333363,2.399792375,0.0015920000150799751,8.493691444396973
EPICUSDT,365,2025-09-01,2026-08-31,4.3177805,2.0237945,0.33959999680519104,9.105365753173828
TRUTHUSDT,335,2025-10-01,2026-08-31,4.2855625,1.4268696875,0.012749999761581421,10.198183059692383
NILUSDT,365,2025-09-01,2026-08-31,4.277987,2.74519525,0.052549999207258224,9.732274055480957
JCTUSDT,295,2025-11-10,2026-08-31,4.2388005,2.0220508125,0.0018129999516531825,13.601284980773926
ONTUSDT,365,2025-09-01,2026-08-31,4.219929,2.080926625,0.05222000181674957,6.052626132965088
2ZUSDT,334,2025-10-02,2026-08-31,4.2083375,2.03819190625,0.05400000140070915,7.308718681335449
USDCUSDT,365,2025-09-01,2026-08-31,4.19283125,2.666961,0.9997460246086121,0.023813875392079353
BBUSDT,365,2025-09-01,2026-08-31,4.15431425,1.927757,0.00930000003427267,8.425274848937988
GPSUSDT,365,2025-09-01,2026-08-31,4.15364125,2.2354645,0.009680000133812428,8.67230224609375
ACTUSDT,365,2025-09-01,2026-08-31,4.1457335,2.041643875,0.010521999560296535,7.8405609130859375
BTCDOMUSDT,365,2025-09-01,2026-08-31,4.141444,2.59093675,5380.2998046875,1.679431438446045
DUSKUSDT,365,2025-09-01,2026-08-31,4.1336705,1.887727375,0.06756000220775604,8.501121520996094
FHEUSDT,365,2025-09-01,2026-08-31,4.12505875,2.170123,0.021209999918937683,12.692543983459473
USUSDT,263,2025-12-12,2026-08-31,4.10866975,1.580329375,0.016682999208569527,13.430631637573242
COHRUSDT,98,2026-05-26,2026-08-31,4.0924305,1.6077799375,278.4100036621094,8.115896224975586
ZEREBROUSDT,365,2025-09-01,2026-08-31,4.08594525,1.9011805,0.03842199966311455,10.453482627868652
MEUSDT,365,2025-09-01,2026-08-31,4.0779695,2.488368,0.061080001294612885,5.981103897094727
XPDUSDT,214,2026-01-30,2026-08-31,4.02842175,2.329835625,1370.030029296875,3.1836435794830322
QUSDT,364,2025-09-02,2026-08-31,4.011439,2.0126841875,0.02403300069272518,11.637937545776367
STGUSDT,365,2025-09-01,2026-08-31,3.99456825,2.22084975,0.16740000247955322,7.148353576660156
ATUSDT,307,2025-10-29,2026-08-31,3.9523965,1.867832,0.13590000569820404,6.532486438751221
BUSDT,365,2025-09-01,2026-08-31,3.93401825,2.034433125,0.13740000128746033,10.307300567626953
SPKUSDT,365,2025-09-01,2026-08-31,3.92903325,1.911974125,0.019370000809431076,6.720006465911865
API3USDT,365,2025-09-01,2026-08-31,3.92577925,1.999688875,0.2224999964237213,6.008874893188477
TAKEUSDT,363,2025-09-03,2026-08-31,3.91176525,1.7529685625,0.0575300008058548,11.22135066986084
ATHUSDT,365,2025-09-01,2026-08-31,3.9046995,2.076207375,0.004831000231206417,7.94148588180542
GUNUSDT,365,2025-09-01,2026-08-31,3.90230825,2.2799915,0.0029929999727755785,8.301654815673828
HYPERUSDT,365,2025-09-01,2026-08-31,3.899914,2.30088625,0.06532000005245209,7.034888744354248
ORCAUSDT,365,2025-09-01,2026-08-31,3.87542675,2.031928625,1.2589999437332153,5.927554130554199
SAPIENUSDT,365,2025-09-01,2026-08-31,3.84542425,1.91457475,0.08234000205993652,9.156031608581543
ZILUSDT,365,2025-09-01,2026-08-31,3.84493375,2.36460075,0.0025869999080896378,5.210911273956299
INTWUSDT,54,2026-07-09,2026-08-31,3.7702155,1.591104125,18.479999542236328,10.251226425170898
AXLUSDT,365,2025-09-01,2026-08-31,3.76912875,1.900618875,0.0435199998319149,6.726706027984619
MINAUSDT,365,2025-09-01,2026-08-31,3.747141,2.02549075,0.06683000177145004,5.666358947753906
STOUSDT,365,2025-09-01,2026-08-31,3.7358985,1.883375375,0.04089999943971634,6.9575042724609375
MAGICUSDT,365,2025-09-01,2026-08-31,3.73067375,1.575536875,0.04558999836444855,5.816862106323242
NMRUSDT,365,2025-09-01,2026-08-31,3.72630825,1.67465025,9.017999649047852,5.646129608154297
SUPERUSDT,365,2025-09-01,2026-08-31,3.7243865,2.003307875,0.1070299968123436,5.925923824310303
LUNA2USDT,365,2025-09-01,2026-08-31,3.7179385,2.10296225,0.04438000172376633,5.314210891723633
CELOUSDT,365,2025-09-01,2026-08-31,3.71472225,1.68264025,0.07366999983787537,6.586822032928467
HK1810USDT,41,2026-07-22,2026-08-31,3.697437,1.105177625,27.809999465942383,3.762450695037842
WCTUSDT,365,2025-09-01,2026-08-31,3.69693875,1.848118375,0.03748999908566475,6.57708740234375
MEGAUSDT,214,2026-01-30,2026-08-31,3.696148,1.1791054375,0.03796999901533127,7.678471565246582
YGGUSDT,365,2025-09-01,2026-08-31,3.6708505,2.15812175,0.021859999746084213,6.653136730194092
ACHUSDT,365,2025-09-01,2026-08-31,3.66630975,1.980148,0.00481100007891655,5.868382930755615
ALTUSDT,365,2025-09-01,2026-08-31,3.66040025,2.1384085,0.006120999809354544,6.584873199462891
IBMUSDT,90,2026-06-03,2026-08-31,3.631802,1.426097875,233.99000549316406,3.224884033203125
EDUUSDT,365,2025-09-01,2026-08-31,3.62806525,1.90802675,0.04808000102639198,7.482626914978027
MANTRAUSDT,181,2026-03-04,2026-08-31,3.6248335,2.20474225,0.004395000170916319,5.923961162567139
BLURUSDT,365,2025-09-01,2026-08-31,3.60495525,2.090649125,0.01558000035583973,6.096307754516602
ENJUSDT,365,2025-09-01,2026-08-31,3.600852,2.094005625,0.024480000138282776,6.022335529327393
NAORISUSDT,365,2025-09-01,2026-08-31,3.577788,1.542949125,0.02563999965786934,12.961061477661133
WALUSDT,365,2025-09-01,2026-08-31,3.565719,1.905211625,0.024129999801516533,6.6253557205200195
BABYUSDT,365,2025-09-01,2026-08-31,3.54687975,1.921438625,0.012369999662041664,6.722684860229492
